sent + recording 127.0.0.1:30002 -> results/T09_slow_r1.baseline.csv  (Ctrl-C to stop)

  2257 samples    21.1s
  2284 samples    21.4s
  2312 samples    21.6s
  2339 samples    21.9s
  2366 samples    22.1s
  2393 samples    22.4s
  2420 samples    22.7s
  2447 samples    22.9s
  2475 samples    23.2s
  2503 samples    23.4ssent + recording 127.0.0.1:30002 -> results/T09_medium_r1.ppo.csv  (Ctrl-C to stop)

  28 samples     0.3s
  55 samples     0.5s
  82 samples     0.8s
  109 samples     1.0s
  136 samples     1.3s
  163 samples     1.5s
  190 samples     1.8s
  217 samples     2.0s
  244 samples     2.3s
  271 samples     2.5s
  296 samples     2.8s
  324 samples     3.0s
  351 samples     3.3s
  379 samples     3.6s
  406 samples     3.8s
  434 samples     4.1s
  462 samples     4.3s
  490 samples     4.6s
  517 samples     4.8s
  544 samples     5.1s
  571 samples     5.3s
  598 samples     5.6s
  625 samples     5.8s
  652 samples     6.1s
  676 samples     6.3s
  704 samples     6.6s
  732 samples     6.9s
  759 samples     7.1s
  786 samples     7.4s
  813 samples     7.6s
  841 samples     7.9s
  868 samples     8.1s
  895 samples     8.4s
  922 samples     8.6s
  949 samples     8.9s
  977 samples     9.1s
  1005 samples     9.4s
  1030 samples     9.6s
  1058 samples     9.9s
  1085 samples    10.1s
  1113 samples    10.4s
  1141 samples    10.7s
  1168 samples    10.9s
  1195 samples    11.2s
  1222 samples    11.4s
  1249 samples    11.7s
  1276 samples    11.9s
  1304 samples    12.2s
  1332 samples    12.4s
  1360 samples    12.7s
  1387 samples    13.0s
  1414 samples    13.2ssent + recording 127.0.0.1:30002 -> results/T10_slow_r1.baseline.csv  (Ctrl-C to stop)

  28 samples     0.3s
  54 samples     0.5s
  82 samples     0.8s
  110 samples     1.0s
  137 samples     1.3s
  165 samples     1.5s
  193 samples     1.8s
  221 samples     2.1s
  249 samples     2.3s
  276 samples     2.6s
  303 samples     2.8s
  330 samples     3.1s
  358 samples     3.3s
  385 samples     3.6s
  413 samples     3.8s
  440 samples     4.1s
  468 samples     4.3s
  495 samples     4.6s
  522 samples     4.8s
  550 samples     5.1s
  578 samples     5.4s
  606 samples     5.6s
  634 samples     5.9s
  661 samples     6.1s
  688 samples     6.4s
  715 samples     6.6s
  743 samples     6.9s
  771 samples     7.1s
  798 samples     7.4s
  824 samples     7.7s
  852 samples     7.9s
  879 samples     8.2s
  905 samples     8.4s
  932 samples     8.7s
  959 samples     8.9s
  987 samples     9.2s
  1014 samples     9.4s
  1041 samples     9.7s
  1068 samples     9.9s
  1095 samples    10.2s
  1122 samples    10.4s
  1150 samples    10.7s
  1177 samples    11.0s
  1204 samples    11.2s
  1231 samples    11.5s
  1259 samples    11.7s
  1287 samples    12.0s
  1315 samples    12.2s
  1342 samples    12.5s
  1369 samples    12.7s
  1396 samples    13.0s
  1423 samples    13.2s
  1450 samples    13.5s
  1478 samples    13.7s
  1505 samples    14.0s
  1533 samples    14.3s
  1560 samples    14.5s
  1587 samples    14.8s
  1615 samples    15.0s
  1643 samples    15.3s
  1671 samples    15.5s
  1699 samples    15.8s
  1727 samples    16.0s
  1754 samples    16.3s
  1779 samples    16.6s
  1807 samples    16.8s
  1834 samples    17.1s
  1861 samples    17.3s
  1888 samples    17.6s
  1915 samples    17.8s
  1942 samples    18.1s
  1970 samples    18.3s
  1998 samples    18.6s
  2025 samples    18.8s
  2052 samples    19.1s
  2079 samples    19.3s
  2106 samples    19.6s
  2134 samples    19.8s
  2162 samples    20.1s
  2189 samples    20.4s
  2217 samples    20.6s
  2245 samples    20.9s
  2273 samples    21.1s
  2300 samples    21.4s
  2328 samples    21.6s
  2356 samples    21.9s
  2383 samples    22.1s
  2410 samples    22.4s
  2437 samples    22.6s
  2465 samples    22.9s
  2493 samples    23.2s
  2521 samples    23.4s
  2548 samples    23.7s
  2575 samples    23.9s
  2603 samples    24.2s
  2628 samples    24.4s
  2656 samples    24.7ssent + recording 127.0.0.1:30002 -> results/T10_slow_r1.ppo.csv  (Ctrl-C to stop)

  28 samples     0.3s
  55 samples     0.5s
  83 samples     0.8s
  110 samples     1.0s
  137 samples     1.3s
  165 samples     1.5s
  192 samples     1.8s
  220 samples     2.0s
  247 samples     2.3s
  274 samples     2.5s
  301 samples     2.8s
  328 samples     3.0s
  356 samples     3.3s
  383 samples     3.6s
  410 samples     3.8s
  437 samples     4.1s
  464 samples     4.3s
  491 samples     4.6s
  518 samples     4.8s
  546 samples     5.1s
  573 samples     5.3s
  600 samples     5.6s
  628 samples     5.8s
  654 samples     6.1s
  681 samples     6.4s
  708 samples     6.6s
  735 samples     6.9s
  763 samples     7.1s
  790 samples     7.4s
  817 samples     7.6s
  845 samples     7.9s
  872 samples     8.1s
  899 samples     8.4s
  927 samples     8.6s
  955 samples     8.9s
  982 samples     9.2s
  1006 samples     9.4s
  1033 samples     9.7s
  1060 samples     9.9s
  1087 samples    10.2s
  1114 samples    10.4s
  1141 samples    10.7s
  1168 samples    10.9s
  1195 samples    11.2s
  1222 samples    11.4s
  1249 samples    11.7s
  1277 samples    11.9s
  1304 samples    12.2s
  1332 samples    12.4s
  1360 samples    12.7s
  1387 samples    13.0s
  1413 samples    13.2s
  1440 samples    13.5s
  1467 samples    13.7s
  1494 samples    14.0s
  1521 samples    14.2s
  1548 samples    14.5s
  1575 samples    14.7s
  1603 samples    15.0ssent + recording 192.168.1.100:30002 -> results/T09_fast_r1.baseline.csv  (Ctrl-C to stop)

  40 samples     0.3s
  75 samples     0.5s
  110 samples     0.8s
  145 samples     1.0s
  180 samples     1.3s
  215 samples     1.5s
  250 samples     1.8s
  285 samples     2.0s
  320 samples     2.3s
  355 samples     2.5s
  390 samples     2.8s
  425 samples     3.0s
  460 samples     3.3s
  495 samples     3.5s
  530 samples     3.8s
  565 samples     4.0s
  600 samples     4.3s
  635 samples     4.5s
  670 samples     4.8s
  705 samples     5.0s
  740 samples     5.3s
  775 samples     5.5s
  810 samples     5.8s
  845 samples     6.1s
  880 samples     6.3s
  915 samples     6.6s
  950 samples     6.8s
  985 samples     7.1s
  1020 samples     7.3s
  1055 samples     7.6s
  1090 samples     7.8s
  1125 samples     8.1s
  1160 samples     8.3s
  1195 samples     8.6s
  1230 samples     8.8s
  1265 samples     9.1s
  1300 samples     9.3s
  1335 samples     9.6s
  1370 samples     9.8s
  1405 samples    10.1s
  1440 samples    10.3s
  1475 samples    10.6s
  1510 samples    10.8s
  1545 samples    11.1s
  1580 samples    11.3s
  1615 samples    11.6s
  1650 samples    11.8s
  1685 samples    12.1s
  1720 samples    12.4s
  1755 samples    12.6s
  1790 samples    12.9s
  1825 samples    13.1s
  1860 samples    13.4s
  1893 samples    13.6s
  1926 samples    13.9s
  1959 samples    14.1s
  1992 samples    14.4s
  2025 samples    14.6s
  2058 samples    14.9s
  2091 samples    15.1s
  2124 samples    15.4s
  2157 samples    15.6s
  2190 samples    15.9s
  2225 samples    16.1s
  2260 samples    16.4s
  2295 samples    16.6s
  2330 samples    16.9s
  2365 samples    17.1s
  2400 samples    17.4s
  2435 samples    17.7s
  2470 samples    17.9s
  2505 samples    18.2s
  2540 samples    18.4s
  2575 samples    18.7s
  2610 samples    18.9s
  2645 samples    19.2s
  2680 samples    19.4s
  2715 samples    19.7s
  2750 samples    19.9s
  2785 samples    20.2s
  2820 samples    20.4s
  2855 samples    20.7s
  2890 samples    20.9s
  2925 samples    21.2s
  2960 samples    21.4s
  2995 samples    21.7s
  3030 samples    21.9s
  3065 samples    22.2s
  3100 samples    22.4s
  3135 samples    22.7s
  3170 samples    23.0s
  3206 samples    23.2s
  3241 samples    23.5s
  3276 samples    23.7s
  3310 samples    24.0s
  3345 samples    24.2s
  3380 samples    24.5s
  3415 samples    24.7s
  3450 samples    25.0s
  3486 samples    25.2s
  3521 samples    25.5s
  3556 samples    25.7s
  3591 samples    26.0s
  3626 samples    26.2s
  3661 samples    26.5s
  3696 samples    26.7s
  3731 samples    27.0s
  3766 samples    27.3s
  3801 samples    27.5s
  3836 samples    27.8s
  3871 samples    28.0s
  3906 samples    28.3s
  3941 samples    28.5s
  3976 samples    28.8s
  4011 samples    29.0s
  4046 samples    29.3s
  4081 samples    29.5s
  4116 samples    29.8s
  4151 samples    30.0s
  4186 samples    30.3s
  4221 samples    30.5s
  4254 samples    30.8s
  4287 samples    31.0s
  4320 samples    31.3s
